房源编号 城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼层 电梯 车位 用水 用电 燃气 供暖
SH2292081081152700416 上海 徐汇 万体馆 漕溪四村 40 整租 南 4000元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 有 集中供暖 
SH2312757673868656640 上海 徐汇 万体馆 漕溪四村 49 整租 南 4400元/月 (月付价) 1室 1厅 1卫 随时入住 1年 随时可 3 6层 无 免费使用 民水 民电 有 自采暖 
SH2312965027256614912 上海 闵行 浦江 新汇绿苑 15 合租 南 1100元/月 (月付价) 2室 1厅 2卫 随时入住 3~12个月 随时可 9 15层 有 NULL 民水 民电 无 NULL 
SH2308616511113404416 上海 黄浦 淮海中路 花园坊 39 整租 南 6250元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 无 NULL 
SH2299816464976183296 上海 黄浦 五里桥 瞿溪路937弄 54 整租 南 4500元/月 (季付价) 3室 1厅 1卫 随时入住 1~3个月 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2292663365086494720 上海 松江 松江老城 荣庭(创业)园 31 整租 北 1500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL NULL NULL 无 NULL 
SH2254048129961689088 上海 浦东 泥城镇 丽都华庭 69 整租 南 2000元/月 NULL 1室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 12层 有 NULL 民水 民电 有 自采暖 
SH2305094864473432064 上海 虹口 鲁迅公园 商业一村 30 整租 南 2900元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 5层 无 NULL 民水 民电 有 NULL 
SH2301419012753457152 上海 普陀 曹杨 曹杨九村 29 整租 南 3200元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 7层 无 NULL 民水 民电 有 NULL 
SH2314803724423536640 上海 徐汇 田林 仪表新村 11 合租 南 2890元/月 (季付价) 2室 1厅 1卫 随时入住 1年 随时可 6 6层 无 NULL 民水 民电 有 NULL 
SH2313667196292694016 上海 宝山 罗店 年吉路100弄 11 合租 西 1050元/月 (月付价) 4室 1厅 3卫 随时入住 6~12个月 随时可 3 18层 无 租用车位 民水 民电 无 自采暖 
SH2298452563936690176 上海 浦东 周浦 汇康公寓 40 整租 东 1300元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2162219611636891648 上海 浦东 书院镇 新舒苑 82 整租 南 1100元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2304184860795224064 上海 黄浦 蓬莱公园 瞿溪路115-131号 50 整租 南 5500元/月 (季付价) 2室 1厅 1卫 2019-08-20 2年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2304390444756238336 上海 静安 曹家渡 金家巷西弄 52 整租 南 6500元/月 (季付价) 2室 1厅 1卫 随时入住 3年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 有 NULL 
SH2288460510913634304 上海 黄浦 人民广场 祥康里 22 整租 南 4500元/月 NULL 1室 0厅 1卫 随时入住 2年以内 需提前预约 低楼层 7层 有 NULL 民水 民电 无 NULL 
SH2310078328289370112 上海 徐汇 田林 田林十四村 43 整租 西南 3500元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 有 NULL 
SH2207092579315752960 上海 徐汇 徐家汇 零陵小区 38 整租 南 4500元/月 (季付价) 1室 1厅 1卫 随时入住 3年以上 一般下班后可 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2246122192196870144 上海 静安 江宁路 安西小区 62 整租 南 7000元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 有 集中供暖 
SH2314598163522535424 上海 闸北 大宁 广中苑 12 合租 南 2690元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 2 6层 无 NULL 民水 民电 有 NULL 
SH2313720923414872064 上海 闸北 闸北公园 和兰苑 15 整租 东/东南 2580元/月 (月付价) 1室 0厅 1卫 随时入住 6~12个月 随时可 2 5层 无 免费使用 民水 民电 无 NULL 
SH2298302268325232640 上海 黄浦 老西门 大林路43弄 56 整租 南 7500元/月 (季付价) 2室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2280414129909415936 上海 黄浦 蓬莱公园 西凌新邨 46 整租 南 5900元/月 (季付价) 2室 0厅 1卫 随时入住 2年以内 需提前预约 中楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2300019668838531072 上海 宝山 月浦 盛桥三村 38 整租 南 1500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 5层 无 NULL 民水 民电 有 NULL 
SH2311368259439697920 上海 徐汇 漕河泾 华悦家园 25 合租 南 3000元/月 (月付价) 3室 1厅 2卫 随时入住 1年 随时可 27 35层 有 租用车位 民水 民电 有 NULL 
SH2123043320438456320 上海 浦东 泥城镇 丽都华庭 88 整租 南 1000元/月 NULL 2室 2厅 2卫 随时入住 NULL 需提前预约 高楼层 11层 有 NULL 民水 民电 有 自采暖 
SH2315035112129445888 上海 静安 曹家渡 君悦静安 48 整租 南 6800元/月 (双月付价) 1室 1厅 1卫 随时入住 1~3年 随时可 15 22层 有 租用车位 民水 民电 有 自采暖 
SH2312438134870654976 上海 普陀 长风 芝巷小区 29 合租 南 3000元/月 (月付价) 4室 1厅 1卫 随时入住 9~12个月 随时可 5 6层 无 租用车位 民水 民电 无 NULL 
SH2209390702440218624 上海 黄浦 人民广场 祥康里 42 整租 南/北 6400元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 7层 有 NULL 民水 民电 无 NULL 
SH2202082941692559360 上海 黄浦 新天地 合肥路161号 40 整租 南 6800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2302899341557776384 上海 浦东 临港新城 绿地东岸涟城 74 整租 南/北 1800元/月 NULL 1室 2厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2315199868920143872 上海 闵行 颛桥 翔泰苑 31 整租 南 1800元/月 (月付价) 1室 1厅 1卫 随时入住 6~12个月 随时可 7 18层 有 租用车位 商水 商电 无 自采暖 
SH2315195548569190400 上海 闵行 颛桥 金榜家园 31 整租 南 1600元/月 (月付价) 1室 1厅 1卫 随时入住 6~12个月 随时可 6 12层 有 租用车位 商水 商电 无 自采暖 
SH2315194618934992896 上海 闵行 颛桥 翔泰苑 29 整租 南 1500元/月 (月付价) 1室 1厅 1卫 随时入住 6~12个月 随时可 5 12层 有 租用车位 商水 商电 无 自采暖 
SH2295510688145080320 上海 黄浦 蓬莱公园 南陆大厦 83 整租 东南 8500元/月 (季付价) 2室 2厅 1卫 随时入住 1年以内 需提前预约 高楼层 25层 有 NULL 民水 民电 无 NULL 
SH2307972192148922368 上海 浦东 惠南 彩虹雅苑 81 整租 南 1800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2283169345649778688 上海 静安 曹家渡 万航公寓 25 整租 南 3500元/月 (季付价) 1室 0厅 1卫 随时入住 1年以内 需提前预约 低楼层 24层 有 NULL 民水 民电 有 NULL 
SH2162278336213295104 上海 徐汇 万体馆 龙吴路13弄 44 整租 南 3800元/月 (季付价) 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 自采暖 
SH2301949827988602880 上海 徐汇 上海南站 光华园 41 整租 南 4400元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2310795807215067136 上海 奉贤 南桥 金水和璟园 60 整租 南 1500元/月 (月付价) 1室 2厅 1卫 随时入住 6~12个月 随时可 20 26层 无 租用车位 民水 民电 有 NULL 
SH2227415729710841856 上海 静安 江宁路 昌平路427-439号(单) 57 整租 南 7000元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2304175144589074432 上海 黄浦 淮海中路 永嘉路39弄 44 整租 南/北 7500元/月 (季付价) 2室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2294068082970738688 上海 徐汇 龙华 宛南四村 39 整租 南 4500元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 一般下班后可 高楼层 5层 无 NULL 民水 民电 无 自采暖 
SH2314594437268766720 上海 浦东 高东 楼下佳苑 12 合租 南 1660元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 8 8层 有 NULL 民水 民电 有 NULL 
SH2308556112028508160 上海 徐汇 华东理工 梅陇四村 43 整租 南 3300元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2315361612196233216 上海 浦东 金桥 乾昌大厦 27 整租 南 2150元/月 (月付价) 1室 1厅 1卫 随时入住 6~12个月 随时可 8 10层 有 租用车位 商水 商电 无 NULL 
SH2300522621546274816 上海 静安 静安寺 长乐路930弄 42 整租 南 6000元/月 (季付价) 1室 1厅 1卫 随时入住 3年以上 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312101264906780672 上海 松江 九亭 知雅汇(公寓) 12 合租 南 1010元/月 (月付价) 4室 0厅 1卫 随时入住 6~12个月 随时可 12 18层 有 NULL 民水 民电 有 NULL 
SH2314538387694436352 上海 黄浦 打浦桥 原水小区(卢湾) 74 整租 南/北 9500元/月 NULL 2室 1厅 1卫 2019-09-01 NULL 只能周末 高楼层 7层 无 NULL 民水 民电 无 NULL 
SH2311574957542612992 上海 静安 曹家渡 南长小区 58 整租 南 6500元/月 NULL 1室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2310981896496496640 上海 徐汇 徐家汇 东安一村 38 整租 南 4300元/月 (季付价) 1室 0厅 1卫 随时入住 1年 随时可 2 4层 无 租用车位 民水 民电 有 自采暖 
SH2312084202075996160 上海 徐汇 徐汇滨江 苑宏新村 36 整租 南/北 4200元/月 (季付价) 1室 1厅 1卫 随时入住 3年以上 需提前预约 高楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2162269972981104640 上海 浦东 航头 富田花园 85 整租 南 2200元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2303672113053581312 上海 静安 曹家渡 蓝朝部落 51 整租 南 6800元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 31层 有 NULL 民水 民电 有 自采暖 
SH2295719168945176576 上海 黄浦 黄浦滨江 悦来小区 43 整租 南 6300元/月 (季付价) 2室 0厅 1卫 随时入住 3年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2309994965834670080 上海 浦东 惠南 德盈佳园 83 整租 南 1800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2314992982107103232 上海 徐汇 万体馆 精文公寓 12 合租 南 3360元/月 (季付价) 4室 1厅 2卫 随时入住 1年 随时可 7 24层 有 NULL 民水 民电 有 NULL 
SH2313552493269237760 上海 闸北 不夜城 富泉公寓 12 合租 南 2700元/月 (月付价) 4室 1厅 1卫 随时入住 1~2年 需提前预约 11 23层 NULL NULL NULL NULL NULL NULL 
SH2315147795134693376 上海 青浦 华新 徐泾北城馨浦苑 18 合租 南 1700元/月 (季付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 9 18层 无 租用车位 民水 民电 无 自采暖 
SH2312941168243523584 上海 闵行 莘庄 莘梓苑 16 合租 南 1900元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 3 3层 无 租用车位 民水 民电 无 自采暖 
SH2295431716086751232 上海 浦东 北蔡 鹏宏苑 20 合租 南 1700元/月 (月付价) 3室 0厅 1卫 随时入住 1年 随时可 2 6层 无 NULL 民水 民电 有 NULL 
SH2313680165819400192 上海 徐汇 华东理工 梅陇十村 61 整租 南 6000元/月 (季付价) 2室 1厅 1卫 随时入住 3年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2309218244806057984 上海 松江 泗泾 泗泾新苑 15 合租 北 1600元/月 (月付价) 4室 1厅 1卫 随时入住 1年 随时可 11 15层 有 租用车位 NULL NULL 有 NULL 
SH2304244220120006656 上海 徐汇 徐家汇 谨斜小区 33 整租 南 5000元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2313530003838468096 上海 青浦 徐泾 蟠龙馨苑 10 合租 南 1700元/月 (月付价) 3室 1厅 1卫 随时入住 1年以上 随时可 6 18层 有 租用车位 民水 民电 有 自采暖 
SH2312880062921449472 上海 静安 南京西路 振安广场 13 合租 南 3800元/月 (月付价) 4室 2厅 2卫 随时入住 1年以上 随时可 20 23层 无 NULL 商水 商电 无 NULL 
SH2304359634557222912 上海 杨浦 中原 殷行二村 36 整租 南 3500元/月 NULL 1室 0厅 1卫 2019-08-20 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2310034565181480960 上海 松江 泗泾 新凯一期 12 合租 北 1400元/月 (季付价) 3室 1厅 1卫 随时入住 1年以上 随时可 5 6层 有 租用车位 民水 民电 有 NULL 
SH2305518621004677120 上海 青浦 徐泾 河畔家苑 89 整租 南 3300元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2291237482022846464 上海 徐汇 徐家汇 乐山二村 48 整租 南/北 6000元/月 (季付价) 2室 0厅 1卫 2019-09-01 1年以内 需提前预约 中楼层 7层 无 NULL 民水 民电 有 NULL 
SH2299841189869780992 上海 普陀 桃浦 桃浦七村雪松苑 44 整租 南 3800元/月 NULL 1室 1厅 1卫 2019-08-12 NULL 只能周末 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2294174010805583872 上海 闵行 浦江 浦江世博家园十街坊 25 整租 南/西南 1720元/月 (月付价) 1室 1厅 1卫 随时入住 6~24个月 随时可 3 5层 无 NULL 民水 民电 无 NULL 
SH2297886202034405376 上海 松江 新桥 海派青城 45 整租 南 2200元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 14层 有 NULL 民水 民电 有 NULL 
SH2305505712387653632 上海 奉贤 西渡 鸿宝一村(南区) 39 整租 南 1900元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314402782297194496 上海 闵行 老闵行 电机五村 14 合租 北 1100元/月 (月付价) 4室 1厅 1卫 随时入住 1年 随时可 1 6层 NULL NULL NULL NULL NULL NULL 
SH2266418208087220224 上海 徐汇 上海南站 东荡小区 73 整租 南/北 5500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2248317994587660288 上海 长宁 中山公园 虹桥世家花园(公寓) 12 合租 南 3000元/月 (月付价) 4室 1厅 2卫 随时入住 1年 随时可 7 16层 NULL NULL NULL NULL NULL NULL 
SH2313495667604979712 上海 杨浦 中原 民星路406号 40 整租 南 3300元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2262899880249278464 上海 浦东 北蔡 德锦苑 20 合租 南 1900元/月 (季付价) 4室 0厅 2卫 随时入住 1年 随时可 9 14层 NULL NULL NULL NULL NULL NULL 
SH2315058321696505856 上海 青浦 徐泾 金水湾(公寓) 10 合租 北 1560元/月 (季付价) 5室 1厅 2卫 随时入住 1年 随时可 6 6层 无 NULL 民水 民电 有 NULL 
SH2303438908014198784 上海 普陀 桃浦 桃浦十村（紫腾苑小区白丽路701弄） 58 整租 南 4000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2303453424022462464 上海 浦东 北蔡 虞泽苑 15 合租 南 1500元/月 (月付价) 3室 1厅 1卫 随时入住 1~2年 随时可 7 18层 有 NULL 民水 民电 有 NULL 
SH2285233984554139648 上海 奉贤 海湾 绿地香颂(奉贤)(公寓) 62 整租 南/北 1600元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 8层 有 NULL 民水 民电 有 NULL 
SH2305489939842220032 上海 青浦 盈浦 民乐佳苑 81 整租 南 2000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2260711844291551232 上海 嘉定 嘉定老城 塔城小区 39 整租 南 2000元/月 NULL 1室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2313583180995117056 上海 长宁 北新泾 新泾五村 25 合租 南 3700元/月 (季付价) 3室 1厅 3卫 随时入住 1~2年 随时可 4 6层 无 租用车位 民水 民电 无 自采暖 
SH2274555891707543552 上海 静安 南京西路 上海壹街区 64 整租 南 9300元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 低楼层 32层 有 NULL 民水 民电 有 自采暖 
SH2308565600986726400 上海 徐汇 徐家汇 汇贤雅居 55 整租 南 6800元/月 (季付价) 1室 1厅 1卫 2019-08-17 2年以内 需提前预约 低楼层 26层 有 NULL 民水 民电 有 NULL 
SH2278368986826031104 上海 普陀 长风 枣阳路530弄 15 合租 北 2580元/月 (双月付价) 4室 1厅 2卫 随时入住 6~12个月 需提前预约 15 18层 NULL 租用车位 NULL NULL NULL 自采暖 
SH2308715583560228864 上海 黄浦 世博滨江 弘辉名苑 68 整租 南 9000元/月 (季付价) 1室 1厅 1卫 随时入住 3年以内 需提前预约 低楼层 31层 有 NULL 民水 民电 有 NULL 
SH2308563400931672064 上海 徐汇 漕河泾 华悦家园 20 合租 南 3050元/月 (季付价) 3室 1厅 3卫 随时入住 1年 随时可 9 35层 有 租用车位 民水 民电 有 NULL 
SH2295378198303096832 上海 徐汇 植物园 鑫隆花园 104 整租 南 6500元/月 NULL 3室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 24层 有 NULL 民水 民电 无 自采暖 
SH2239824952226488320 上海 普陀 长征 星梅花苑 45 整租 南 4300元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2303548277024899072 上海 浦东 北蔡 大华锦绣华城(九街区) 28 合租 南 2270元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 3 5层 无 NULL 民水 民电 无 NULL 
SH2297074049764818944 上海 浦东 金杨 栖山路1861弄 46 整租 南 3500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314187898523484160 上海 浦东 周浦 欧风家园 83 整租 南 2700元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 11层 有 NULL 民水 民电 无 NULL 
SH2273726527323774976 上海 虹口 凉城 灵新小区 33 整租 南 4000元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2286220339866509312 上海 静安 南京西路 康乐大楼(静安) 58 整租 南 8000元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 低楼层 16层 有 NULL 民水 民电 有 自采暖 
SH2314563276249235456 上海 松江 九亭 亭中小区 16 合租 北 1500元/月 (月付价) 4室 1厅 1卫 随时入住 6~12个月 随时可 5 6层 NULL NULL NULL NULL NULL NULL 
SH2296430681690996736 上海 浦东 惠南 绿地峰汇 52 整租 东南 2300元/月 NULL 2室 1厅 2卫 随时入住 NULL 需提前预约 中楼层 4层 无 NULL 民水 民电 无 NULL 
SH2299948119850762240 上海 徐汇 华东理工 梅陇八村 77 整租 南 4800元/月 (季付价) 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 18层 有 NULL 民水 民电 有 NULL 
SH2314563191163854848 上海 松江 九亭 亭中小区 16 合租 南 1600元/月 (月付价) 4室 1厅 1卫 随时入住 6~12个月 随时可 5 6层 NULL NULL NULL NULL NULL NULL 
SH2290273972765597696 上海 静安 静安寺 愚园路541弄 42 整租 南 7200元/月 (季付价) 2室 0厅 1卫 随时入住 1年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312148331138392064 上海 闵行 颛桥 清馨苑 12 合租 北 1400元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 5 6层 NULL NULL NULL NULL NULL NULL 
SH2294970847766781952 上海 宝山 罗店 美安路628弄 53 整租 南 1800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 18层 无 NULL 民水 民电 无 NULL 
SH2306995480271257600 上海 浦东 北蔡 锦华东南苑 20 合租 南 2100元/月 (月付价) 2室 1厅 1卫 随时入住 1年 随时可 3 4层 无 租用车位 民水 民电 无 NULL 
SH2304309068640296960 上海 长宁 北新泾 淞虹苑 25 合租 南 3100元/月 (月付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 6 6层 无 NULL 民水 民电 无 NULL 
SH2302064847849783296 上海 长宁 北新泾 广友小区 22 整租 南 3680元/月 (月付价) 1室 0厅 1卫 随时入住 1年 随时可 2 6层 无 NULL 民水 民电 无 NULL 
SH2312137139963297792 上海 普陀 光新 管弄一二街坊 34 整租 南/北 3650元/月 NULL 1室 1厅 1卫 2019-09-01 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 有 NULL 
SH2292614459333541888 上海 虹口 鲁迅公园 商业一村 35 整租 南 4100元/月 (季付价) 1室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 有 NULL 
SH2314918458376060928 上海 宝山 罗店 美罗家园佳翔苑 10 合租 南 1430元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 17 18层 有 租用车位 民水 民电 有 NULL 
SH2259987175565705216 上海 奉贤 奉贤金汇 天和前滩时代 84 整租 南 1600元/月 NULL 3室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 18层 无 NULL 民水 民电 无 NULL 
SH2309403152560439296 上海 浦东 曹路 银丰苑 55 整租 南 3600元/月 NULL 1室 1厅 1卫 随时入住 NULL 一般下班后可 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2290446864157245440 上海 普陀 长风 桂巷新村 42 整租 南/北 4500元/月 NULL 2室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 有 NULL 
SH2284010943249915904 上海 普陀 中远两湾城 中远两湾城 15 合租 南 2100元/月 (月付价) 4室 2厅 2卫 随时入住 6~12个月 随时可 3 34层 有 NULL 民水 民电 无 NULL 
SH2308460137939214336 上海 徐汇 万体馆 龙山新村 57 整租 南 6200元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2289681153587945472 上海 松江 松江老城 谷阳南路20号 40 整租 南 2000元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 5层 无 NULL 民水 民电 无 NULL 
SH2300523212926091264 上海 奉贤 西渡 鸿宝一村(北区) 69 整租 南/北 1800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 有 NULL 
SH2307097138095996928 上海 闸北 闸北公园 柳营路319弄 29 整租 南 4500元/月 (季付价) 1室 0厅 1卫 随时入住 3年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 有 NULL 
SH2314471467313528832 上海 闵行 莘庄 凯利大楼 12 合租 东 1050元/月 (月付价) 5室 0厅 2卫 随时入住 1年 随时可 10 22层 有 租用车位 民水 民电 有 自采暖 
SH2294616992843841536 上海 普陀 真光 清涧八街坊 71 整租 南 4500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314630904746098688 上海 青浦 华新 新华联奥莱悦府 10 合租 北 1450元/月 (月付价) 3室 1厅 2卫 随时入住 6~24个月 随时可 10 12层 NULL NULL NULL NULL NULL NULL 
SH2295693414190292992 上海 浦东 惠南 绿地峰汇 51 整租 东南 2300元/月 NULL 2室 1厅 2卫 随时入住 NULL 需提前预约 低楼层 18层 无 NULL 民水 民电 无 NULL 
SH2243399632946470912 上海 闵行 浦江 浦航新城中城苑 80 整租 南 2500元/月 (季付价) 2室 2厅 1卫 随时入住 3年以内 需提前预约 高楼层 18层 有 NULL 民水 民电 无 NULL 
SH2173728293923061760 上海 普陀 曹杨 梅岭支路85弄 38 整租 南 4500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2269314271080873984 上海 浦东 惠南 德盈佳园 61 整租 南 2100元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2314630957241737216 上海 青浦 华新 新华联奥莱悦府 10 合租 北 1450元/月 (月付价) 3室 1厅 1卫 随时入住 6~24个月 随时可 11 12层 NULL NULL NULL NULL NULL NULL 
SH2305816524004261888 上海 闸北 永和 永和二村 55 整租 南/北 4400元/月 NULL 2室 0厅 1卫 2019-08-31 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 有 NULL 
SH2301161959246544896 上海 普陀 长风 长风三村 33 整租 东南 3500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312327969890648064 上海 徐汇 田林 徐汇长春苑 52 整租 南 6000元/月 NULL 1室 1厅 1卫 2019-08-12 NULL 需提前预约 低楼层 17层 有 NULL 民水 民电 有 NULL 
SH2306292984120868864 上海 普陀 光新 月亮湾 18 合租 东南 2100元/月 (月付价) 4室 1厅 2卫 随时入住 6~12个月 随时可 19 26层 有 NULL 民水 民电 有 NULL 
SH2307862565222621184 上海 浦东 曹路 金葵佳苑 18 合租 南 1950元/月 (月付价) 4室 0厅 2卫 随时入住 1年 随时可 18 18层 有 租用车位 商水 商电 无 NULL 
SH2270720699360616448 上海 徐汇 漕河泾 华悦家园 28 合租 南 2650元/月 (月付价) 3室 1厅 2卫 随时入住 3~12个月 随时可 26 34层 有 NULL 民水 民电 有 NULL 
SH2307153401890480128 上海 浦东 北蔡 大华锦绣华城(二街区) 15 合租 南 1600元/月 (月付价) 2室 1厅 1卫 随时入住 1年以上 随时可 12 26层 有 NULL 民水 民电 无 NULL 
SH2307285387594440704 上海 徐汇 斜土路 日晖三村 28 整租 南 4500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 3层 无 NULL 民水 民电 无 NULL 
SH2315052378434306048 上海 闵行 浦江 景舒苑八村 23 合租 南 1900元/月 (月付价) 2室 1厅 1卫 随时入住 1年以上 随时可 5 6层 无 租用车位 民水 民电 无 NULL 
SH2303389793612210176 上海 黄浦 淮海中路 建德小区 42 整租 南 7800元/月 NULL 2室 1厅 1卫 2019-08-31 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2307136456692604928 上海 闸北 大宁 延长小区(闸北) 32 整租 南/北 4500元/月 NULL 1室 0厅 1卫 2019-08-31 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 有 NULL 
